TimeStamp,Millis,systemTime,Loadcell
2025-06-24T10:15:35.0237952-04:00,36935023.795200005,2711.4374720000001,25272.93
2025-06-24T10:15:35.0360192-04:00,36935036.019200005,2711.4494719999998,26707.740000000002
2025-06-24T10:15:35.0482432-04:00,36935048.243200004,2711.461472,27599.25
2025-06-24T10:15:35.0568320-04:00,36935056.832000002,2711.4694720000002,27840.380000000001
2025-06-24T10:15:35.0690432-04:00,36935069.043200001,2711.4814719999999,27737.369999999999
2025-06-24T10:15:35.0814208-04:00,36935081.4208,2711.4954560000001,27104.209999999999
2025-06-24T10:15:35.0937984-04:00,36935093.7984,2711.5074559999998,26600.080000000002
2025-06-24T10:15:35.1059328-04:00,36935105.932800002,2711.519456,26397.290000000001
2025-06-24T10:15:35.1182848-04:00,36935118.2848,2711.5314560000002,26069.02
2025-06-24T10:15:35.1305472-04:00,36935130.547200002,2711.5434559999999,25457.82
2025-06-24T10:15:35.1428352-04:00,36935142.835200004,2711.555456,24645.639999999999
2025-06-24T10:15:35.1549824-04:00,36935154.9824,2711.5674560000002,24110
2025-06-24T10:15:35.1672704-04:00,36935167.270400003,2711.5814719999998,24129.25
2025-06-24T10:15:35.1796224-04:00,36935179.622400001,2711.593472,25007.220000000001
2025-06-24T10:15:35.1918848-04:00,36935191.884800002,2711.6054720000002,26525.34
2025-06-24T10:15:35.2039424-04:00,36935203.942400001,2711.6174719999999,27147.669999999998
2025-06-24T10:15:35.2162432-04:00,36935216.243200004,2711.6294720000001,26470.299999999999
2025-06-24T10:15:35.2285696-04:00,36935228.569600001,2711.6414719999998,25165.709999999999
2025-06-24T10:15:35.2369408-04:00,36935236.940800004,2711.6494720000001,23933.459999999999
2025-06-24T10:15:35.2492288-04:00,36935249.228799999,2711.6634560000002,24183.310000000001
2025-06-24T10:15:35.2616448-04:00,36935261.6448,2711.6754559999999,27146.990000000002
2025-06-24T10:15:35.2739712-04:00,36935273.971200004,2711.6874560000001,27050.830000000002
2025-06-24T10:15:35.2862848-04:00,36935286.2848,2711.6994559999998,27050.830000000002
2025-06-24T10:15:35.2985088-04:00,36935298.5088,2711.711456,25127.290000000001
2025-06-24T10:15:35.3107200-04:00,36935310.719999999,2711.7234560000002,25674.959999999999
