FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1
18276,2827.210848,1,37050820.48,0.0532411968861786,0.0679679386467126
18277,2827.22336,2,37050832.9216,0.0202842205238818,0.0340327892134672
18278,2827.235872,1,37050845.4144,0.0531506581808821,0.0679444163360229
18279,2827.248352,2,37050857.9968,0.0203281584249816,0.0337789257848907
18280,2827.260864,1,37050870.4512,0.0531528772667963,0.0680021125697903
18281,2827.273376,2,37050882.9056,0.0203330404139927,0.0336728534781953
18282,2827.285856,1,37050895.4112,0.0532252194675969,0.0679745959044551
18283,2827.298368,2,37050907.9808,0.0203237202531533,0.033525506173497
18284,2827.31088,1,37050920.4352,0.0532385339830817,0.0680105450962639
18285,2827.32336,2,37050932.9536,0.0203592256277794,0.0333652881704968
18286,2827.335872,1,37050945.2544,0.0532243318332313,0.0679994496666933
18287,2827.348352,2,37050957.952,0.0203982815398681,0.0332996032274386
18288,2827.360864,1,37050970.2272,0.0532585057563089,0.0679679386467126
18289,2827.373376,2,37050982.8096,0.0204067140663418,0.0331438233962666
18290,2827.385856,1,37050995.264,0.0531604221589043,0.067997674397962
18291,2827.398368,2,37051007.872,0.0204542025049042,0.0330044648008592
18292,2827.41088,1,37051020.7232,0.0531346807623004,0.067995011494865
18293,2827.42336,2,37051032.704,0.0205203312651453,0.0328477973353216
18294,2827.435872,1,37051046.3232,0.0532567304875776,0.0680651346097515
18295,2827.448352,2,37051057.9968,0.0205820218535581,0.0327474946520029
18296,2827.460864,1,37051070.2592,0.053288685324741,0.0681010838015605
18297,2827.473376,2,37051082.9696,0.0205105672871231,0.0326130180456067
18298,2827.485856,1,37051095.424,0.0532340958112534,0.0680944265438181
18299,2827.498368,2,37051108.032,0.0204413318066022,0.0324377102583904
18300,2827.51088,1,37051120.4864,0.053217230758306,0.06802563488048
18301,2827.52336,2,37051132.8768,0.0203760906807268,0.0323445086499969
18302,2827.535872,1,37051145.408,0.0532194498442202,0.0680615840722889
18303,2827.548352,2,37051157.76,0.0203077428345716,0.032359598434213
18304,2827.560864,1,37051170.4832,0.0532527361329321,0.0680513762770839
18305,2827.573344,2,37051182.9248,0.0203068552002059,0.0323356323063404
18306,2827.585856,1,37051195.3152,0.0532354272628019,0.067987466602757
18307,2827.598368,2,37051207.9744,0.0202305186447598,0.0323489468218252
18308,2827.61088,1,37051220.2624,0.0531826130180456,0.0680726795018596
18309,2827.62336,2,37051233.024,0.0202163164949094,0.0323165481674789
18310,2827.635872,1,37051245.312,0.0532048038771869,0.0681317071871755
18311,2827.648352,2,37051257.984,0.020158620261142,0.0322912505880578
18312,2827.660864,1,37051270.2592,0.0532567304875776,0.0680682413300313
18313,2827.673344,2,37051282.7648,0.0201741538625409,0.0321652065081352
18314,2827.685856,1,37051295.4752,0.0532447474236413,0.0680034440213387
18315,2827.698368,2,37051307.9296,0.0202464960633416,0.0320475949546863
18316,2827.710848,1,37051320.3712,0.053237646348716,0.0680713480503111
18317,2827.72336,2,37051332.8256,0.0203357033170896,0.0320751116200215
18318,2827.735872,1,37051345.4464,0.0531937084476163,0.0680824434798818
18319,2827.748352,2,37051357.9904,0.0205549490054057,0.0320072075910491
18320,2827.760864,1,37051370.4832,0.0532207812957686,0.0681024152531089
18321,2827.773344,2,37051383.0528,0.0206268473890235,0.0318629670066306
18322,2827.785856,1,37051395.4432,0.0531977028022617,0.0680336235897709
18323,2827.798368,2,37051407.9744,0.0206308417436689,0.031900247649988
18324,2827.810848,1,37051420.48,0.0532269947363282,0.0680753424049566
18325,2827.82336,2,37051433.088,0.0206410495388739,0.0318274616320045
18326,2827.835872,1,37051445.5552,0.0532269947363282,0.0681112915967654
18327,2827.848352,2,37051458.0864,0.0207906159294863,0.0319322024871515
18328,2827.860864,1,37051470.2592,0.0532292138222423,0.0681290442840785
18329,2827.873376,2,37051482.752,0.0209029016767413,0.0319734774851543
18330,2827.885856,1,37051495.4496,0.0532190060270373,0.0680571459004607
